DateTime,CycleCounter,MaxWeldForce,WeldAbsolute,TriggerDistance,WeldTime,WeldPeakPower,CycleTime,AnomalyScore
23-Nov-2021 16:25:21,1287955,175,38413,38065,383,426,1701,1
23-Nov-2021 16:25:25,1287956,176,38424,38073,385,426,1724,1
23-Nov-2021 18:33:25,1288015,175,38456,38115,385,428,5045,1
23-Nov-2021 19:08:21,1288508,175,38319,37788,347,442,1212,1
23-Nov-2021 20:16:22,1289551,177,38367,37959,370,440,1233,1
23-Nov-2021 20:21:15,1289625,177,38388,37928,340,472,1204,1
23-Nov-2021 20:24:53,1289687,175,38382,37949,361,455,1228,1
24-Nov-2021 07:50:22,1300236,175,38371,37965,354,482,1219,1
24-Nov-2021 07:58:48,1300343,175,38402,37982,367,442,1232,1
24-Nov-2021 09:55:12,208285,41,37429,37044,1041,241,2062,6
24-Nov-2021 09:59:38,208286,50,37473,37123,1020,238,2074,6
24-Nov-2021 10:06:16,208287,50,37527,37124,958,250,2014,6
24-Nov-2021 10:07:59,208288,53,37494,37104,955,249,2010,6
24-Nov-2021 10:08:03,208289,55,37475,37102,955,244,2009,6
24-Nov-2021 10:08:07,208290,52,37476,37101,999,238,2054,6
24-Nov-2021 10:10:21,208291,51,37491,37101,948,249,2003,6
24-Nov-2021 10:10:55,208292,52,37472,37098,961,245,2016,6
24-Nov-2021 10:11:03,208293,53,37479,37086,935,257,1989,6
24-Nov-2021 10:11:12,208294,52,37471,37090,950,245,2005,6
24-Nov-2021 10:12:16,208295,50,37466,37111,990,249,2045,6
24-Nov-2021 10:37:05,208296,37,37972,37803,782,317,1961,6
24-Nov-2021 10:37:17,208297,36,37965,37811,798,285,1976,6
24-Nov-2021 10:37:27,208298,36,37993,37841,802,282,1984,6
24-Nov-2021 10:37:31,208299,36,38011,37842,784,294,1964,6
24-Nov-2021 10:37:53,208300,36,38008,37852,797,282,1978,6
24-Nov-2021 10:38:06,208301,37,38004,37839,779,297,1961,6
24-Nov-2021 10:38:13,208302,35,37996,37830,796,278,1977,6
24-Nov-2021 10:38:17,208303,36,38002,37845,801,297,1982,6
24-Nov-2021 10:38:21,208304,35,38021,37860,803,288,1984,6
24-Nov-2021 10:39:09,208305,36,37996,37832,797,289,1978,6
24-Nov-2021 10:39:54,208306,36,37989,37812,787,297,1968,6
24-Nov-2021 10:40:44,208307,36,37969,37793,776,301,1954,6
24-Nov-2021 10:41:17,208308,35,37973,37813,797,297,1976,6
24-Nov-2021 10:42:03,208309,36,38031,37843,782,294,1961,6
24-Nov-2021 10:42:24,208310,36,38027,37855,792,285,1976,6
24-Nov-2021 10:42:29,208311,35,38032,37858,795,285,1977,6
24-Nov-2021 10:42:34,208312,36,38030,37852,795,291,1977,6
24-Nov-2021 10:42:39,208313,36,38005,37818,781,307,1962,6
24-Nov-2021 10:42:45,208314,36,37979,37803,791,294,1970,6
24-Nov-2021 10:42:49,208315,35,37989,37813,788,285,1968,6
24-Nov-2021 10:42:53,208316,36,38006,37826,785,296,1966,6
24-Nov-2021 10:43:02,208317,36,38016,37840,792,294,1973,6
24-Nov-2021 10:43:16,208318,36,38030,37848,793,297,1974,6
24-Nov-2021 10:43:48,208319,35,38011,37828,799,278,1978,6
24-Nov-2021 10:43:52,208320,37,38007,37834,784,288,1964,6
24-Nov-2021 10:43:57,208321,37,37997,37830,784,301,1968,6
24-Nov-2021 10:44:21,208322,37,38043,37859,788,288,1972,6
24-Nov-2021 10:44:25,208323,36,38015,37821,785,289,1966,6
24-Nov-2021 10:44:30,208324,37,38018,37841,792,283,1972,6
24-Nov-2021 10:44:34,208325,36,37989,37796,784,294,1964,6
24-Nov-2021 10:44:38,208326,36,37984,37809,789,285,1969,6
24-Nov-2021 10:44:45,208327,36,37992,37820,781,296,1961,6
24-Nov-2021 10:44:49,208328,35,38035,37858,797,288,1980,6
24-Nov-2021 10:44:54,208329,36,38029,37846,800,285,1981,6
24-Nov-2021 10:44:58,208330,36,38020,37852,808,297,1991,6
24-Nov-2021 10:45:02,208331,36,38001,37817,790,301,1972,6
24-Nov-2021 10:45:06,208332,36,37987,37802,796,276,1974,6
24-Nov-2021 10:45:13,208333,36,37996,37818,792,287,1972,6
24-Nov-2021 10:50:37,208334,37,38033,37847,813,272,1994,6
24-Nov-2021 10:50:42,208335,35,38032,37851,797,282,1978,6
24-Nov-2021 10:50:46,208336,35,38015,37839,804,293,1986,6
24-Nov-2021 10:50:50,208337,37,38004,37835,797,289,1977,6
24-Nov-2021 10:50:54,208338,36,38014,37830,792,296,1973,6
24-Nov-2021 10:50:58,208339,37,38032,37859,796,289,1981,6
24-Nov-2021 10:51:05,208340,36,38018,37842,800,285,1982,6
24-Nov-2021 10:51:10,208341,36,38009,37839,792,296,1979,6
24-Nov-2021 10:51:14,208342,36,37995,37815,786,289,1965,6
24-Nov-2021 10:51:18,208343,36,37997,37815,798,287,1976,6
